Spark Command: /usr/lib/jvm/java-8-openjdk-amd64/jre/bin/java -cp /opt/spark-2.3.4-bin-hadoop2.7/conf/:/opt/spark-2.3.4-bin-hadoop2.7/jars/* -Xmx1g org.apache.spark.deploy.master.Master --host d6bbdf395d396609a2c54660559ae9f03ae06910-5fcb6c599c-9s6lm --port 7077 --webui-port 8080
========================================
2025-01-13 11:09:58 INFO  Master:2612 - Started daemon with process name: 2126@d6bbdf395d396609a2c54660559ae9f03ae06910-5fcb6c599c-9s6lm
2025-01-13 11:09:59 INFO  SignalUtils:54 - Registered signal handler for TERM
2025-01-13 11:09:59 INFO  SignalUtils:54 - Registered signal handler for HUP
2025-01-13 11:09:59 INFO  SignalUtils:54 - Registered signal handler for INT
2025-01-13 11:10:01 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2025-01-13 11:10:01 INFO  SecurityManager:54 - Changing view acls to: root
2025-01-13 11:10:01 INFO  SecurityManager:54 - Changing modify acls to: root
2025-01-13 11:10:01 INFO  SecurityManager:54 - Changing view acls groups to: 
2025-01-13 11:10:01 INFO  SecurityManager:54 - Changing modify acls groups to: 
2025-01-13 11:10:01 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(root); groups with view permissions: Set(); users  with modify permissions: Set(root); groups with modify permissions: Set()
2025-01-13 11:10:02 INFO  Utils:54 - Successfully started service 'sparkMaster' on port 7077.
2025-01-13 11:10:03 INFO  Master:54 - Starting Spark master at spark://d6bbdf395d396609a2c54660559ae9f03ae06910-5fcb6c599c-9s6lm:7077
2025-01-13 11:10:03 INFO  Master:54 - Running Spark version 2.3.4
2025-01-13 11:10:03 INFO  log:192 - Logging initialized @7556ms
2025-01-13 11:10:03 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2025-01-13 11:10:03 INFO  Server:419 - Started @7837ms
2025-01-13 11:10:04 INFO  AbstractConnector:278 - Started ServerConnector@6e21ae9e{HTTP/1.1,[http/1.1]}{0.0.0.0:8080}
2025-01-13 11:10:04 INFO  Utils:54 - Successfully started service 'MasterUI' on port 8080.
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@570ae6e2{/app,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@658569f4{/app/json,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@767c1447{/,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7cba45da{/json,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@323e5970{/static,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7a590a5{/app/kill,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@41671498{/driver/kill,null,AVAILABLE,@Spark}
2025-01-13 11:10:04 INFO  MasterWebUI:54 - Bound MasterWebUI to 0.0.0.0, and started at http://d6bbdf395d396609a2c54660559ae9f03ae06910-5fcb6c599c-9s6lm:8080
2025-01-13 11:10:04 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2025-01-13 11:10:04 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@c330dc5{/,null,AVAILABLE}
2025-01-13 11:10:04 INFO  AbstractConnector:278 - Started ServerConnector@7b91c7a1{HTTP/1.1,[http/1.1]}{d6bbdf395d396609a2c54660559ae9f03ae06910-5fcb6c599c-9s6lm:6066}
2025-01-13 11:10:04 INFO  Server:419 - Started @8644ms
2025-01-13 11:10:04 INFO  Utils:54 - Successfully started service on port 6066.
2025-01-13 11:10:04 INFO  StandaloneRestServer:54 - Started REST server for submitting applications on port 6066
2025-01-13 11:10:05 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@a1a0e5d{/metrics/master/json,null,AVAILABLE,@Spark}
2025-01-13 11:10:05 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@29518f1c{/metrics/applications/json,null,AVAILABLE,@Spark}
2025-01-13 11:10:05 INFO  Master:54 - I have been elected leader! New state: ALIVE
